Vendor,Entities,Suggested Account,Assign Account,Status,Confidence,Txns,Amount,Accounts Used,Source,Matched As
INGY SWEID PERSONAL SPORT COACHING SERVICES,DMCC,,,Unmapped,,,,,,
INMART COMMERCE PRIVATE LIMITED,DMCC,Inventory Asset,Inventory Asset,Suggested,99%,322,324139.16,3,Zoho Bills (line items),Inmart Commerce Private Limited
Inmart Commerce Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,322,324139.16,3,Zoho Bills (line items),Inmart Commerce Private Limited
Insights Success Media Tech LLC,DMCC,,,Unmapped,,,,,,
INSPIRE YOGA PILATES AND FITNESS,DMCC,,,Unmapped,,,,,,
Instashop DMCC,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,6,916.1,1,Zoho Bills (line items),Instashop DMCC
INTEGRATIVE HOME HEALTH CARE L.L.C,"DMCC, KUWA",Head Office Expenses,Head Office Expenses,Suggested,100%,1,56889.0,1,Zoho Bills (line items),INTEGRATIVE HOME HEALTH CARE L.L.C
International Company for Outsourcing Services (PSC),DMCC,,,Unmapped,,,,,,
Ionicure Pharma Company,KSA,,,Unmapped,,,,,,
IQ Fulfillment,"DMCC, KUWA",Last Mile,Last Mile,Needs review,75%,70,21085.46,2,Zoho Bills (line items),IQ Fulfillment
Isabella Rivas - Taquias,DMCC,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,2000.0,1,Zoho Bills (line items),Isabella Rivas-Taquias
Isabella Rivas-Taquias,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,2000.0,1,Zoho Bills (line items),Isabella Rivas-Taquias
Ishan Ray & Sutapa Pramanick,DMCC,,,Unmapped,,,,,,
ITDA General Trading LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,95%,109,28211.33,2,Zoho Bills (line items),ITDA General Trading LLC
J&P LEGAL CONSULTANCY,HOLDING,,,Unmapped,,,,,,
Jackia,DMCC,,,Unmapped,,,,,,
Jagadish,DMCC,,,Unmapped,,,,,,
James White,DMCC,,,Unmapped,,,,,,
Jamie Richards Nutrition,DMCC,,,Unmapped,,,,,,
Jana Baydoun,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,86%,6,8501.84,2,Zoho Bills (line items),Jana Baydoun
Jeebly LLC,KUWA,Last Mile,Last Mile,Suggested,100%,4,4136.09,1,Zoho Bills (line items),Jeebly LLC
Jelena Markovic,DMCC,,,Unmapped,,,,,,
Jeremy Gwyer,DMCC,,,Unmapped,,,,,,
Jessica Pugh,DMCC,,,Unmapped,,,,,,
Joao Pedro Goncalves Dimas,DMCC,,,Unmapped,,,,,,
Joelle Farha Nutritionist,DMCC,,,Unmapped,,,,,,
Josette Noujaim,DMCC,,,Unmapped,,,,,,
Joy Marie Somers,DMCC,,,Unmapped,,,,,,
Joy Somers,DMCC,,,Unmapped,,,,,,
Juma  Salmin Building Cleaning LLC,DMCC,,,Unmapped,,,,,,
JUMBO Electronics,DMCC,,,Unmapped,,,,,,
Jyoti Nevatia,DMCC,,,Unmapped,,,,,,
K-ON COMPANY,KUWA,Inventory Asset,Inventory Asset,Needs review,52%,155,139293.7,4,Zoho Bills (line items),K-ON COMPANY
Kama Ayurveda Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,47,69954.6,1,Zoho Bills (line items),Kama Ayurveda Private Limited
Kapiva,DMCC,,,Unmapped,,,,,,
KAREN CABANGON BRIONE,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,2000.0,1,Zoho Bills (line items),KAREN CABANGON BRIONE
KARIN DRANE,KUWA,,,Unmapped,,,,,,
Karl Sfeir,DMCC,,,Unmapped,,,,,,
Kate Cindy Leevin Brato,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,600.0,1,Zoho Bills (line items),Kate Cindy Leevin Brato
Kattan Media,DMCC,,,Unmapped,,,,,,
Keka Technologies Private Limited,DMCC,,,Unmapped,,,,,,
Keziah Mary Varghese Varughese Kurian,DMCC,,,Unmapped,,,,,,
Khalid Mohsen Helal,KSA,,,Unmapped,,,,,,
KHANDELWAL AYURVED BHAWAN PVT LTD,"DMCC, KUWA",Cost of Goods Sold,Cost of Goods Sold,Needs review,56%,34,199769.45,5,Zoho Bills (line items),KHANDELWAL AYURVED BHAWAN PVT LTD
KHAZENLY,KUWA,Mid Mile,Mid Mile,Suggested,100%,2,1106.04,1,Zoho Bills (line items),KHAZENLY
Khdmat Navas Llraayt Altbyt Co,KSA,,,Unmapped,,,,,,
KIANA SADRES,DMCC,Influencers-Marketing,Influencers-Marketing,Suggested,100%,5,2700.0,1,Zoho Bills (line items),Kiana Sadres
Kiana Sadres,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,5,2700.0,1,Zoho Bills (line items),Kiana Sadres
Kindlife Korea,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,92,469747.87,3,Zoho Bills (line items),Kindlife Korea
KinFitz & Co FZC LLC,DMCC,,,Unmapped,,,,,,
Kiran Abbas,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,1800.0,1,Zoho Bills (line items),Kiran Abbas
Klaviyo Inc,DMCC,,,Unmapped,,,,,,
KMH Events Management,DMCC,,,Unmapped,,,,,,
Kontent,DMCC,,,Unmapped,,,,,,
Kosher Organics Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,56,55300.14,1,Zoho Bills (line items),Kosher Organics Private Limited
Kreston Menon Chartered Accountants,"DMCC, HOLDING, KUWA",Audit Fee Payable,Audit Fee Payable,Suggested,100%,2,10000.0,1,Zoho Bills (line items),Kreston Menon Chartered Accountants
Krossover Gifts Trading LLC,DMCC,,,Unmapped,,,,,,
Kudwa Technologies Ltd,KUWA,Prepaid Expenses,Prepaid Expenses,Suggested,100%,4,22020.0,1,Zoho Bills (line items),Kudwa Technologies Ltd
Kuwa Food Supplements Trading LLC,"DMCC, KSA",,,Unmapped,,,,,,
Kuwait Last Mile services,KUWA,Last Mile,Last Mile,Suggested,100%,15,18070.42,1,Zoho Bills (line items),Kuwait Last Mile services
KWICK FREIGHT SOLUTIONS LLC,KUWA,Mid Mile,Mid Mile,Suggested,100%,8,66166.0,1,Zoho Bills (line items),KWICK FREIGHT SOLUTIONS LLC
Laila Dahou,DMCC,,,Unmapped,,,,,,
LAMA ALDABEEK,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,7,18213.49,1,Zoho Bills (line items),LAMA ALDABEEK
Lama Muhammad Adnan Clinics,KSA,,,Unmapped,,,,,,
LAMAWORKOUT,DMCC,,,Unmapped,,,,,,
Lamis Saif Nail,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1000.0,1,Zoho Bills (line items),Lamis Saif Nail
Lamyaa for Logistics Services,SAHA,Mid Mile,Mid Mile,Needs review,73%,11,110620.74,5,Detailed GL,Lamyaa for Logistics Services
Lamyaa For Logistics Services,KSA,Mid Mile,Mid Mile,Needs review,73%,11,110620.74,5,Detailed GL,Lamyaa for Logistics Services
LANA Fitness Club,DMCC,,,Unmapped,,,,,,
Laptop Store,DMCC,,,Unmapped,,,,,,
Lara Freije,DMCC,,,Unmapped,,,,,,
Lauren Information Technologies FZCO,DMCC,,,Unmapped,,,,,,
Layal Hossary,DMCC,,,Unmapped,,,,,,
Layal Smaili Smaili,DMCC,,,Unmapped,,,,,,
LAYLA AL-NAIF PROJECT MANAGEMENT SERVICES,DMCC,,,Unmapped,,,,,,
LeadsBridge Inc,DMCC,,,Unmapped,,,,,,
LeapX Ankit Gupta,DMCC,,,Unmapped,,,,,,
Legal Circle FZC,"DMCC, HOLDING",,,Unmapped,,,,,,
LEMONADE INTERNATIONAL,DMCC,,,Unmapped,,,,,,
LETS DTALKS MARKETING SERVICES VIA SOCIAL MEDIA,DMCC,,,Unmapped,,,,,,
LIFE MEDICAL DIAGNOSTICS LLC,DMCC,,,Unmapped,,,,,,
Life of Riley Supplements Trading LLC,DMCC,,,Unmapped,,,,,,
Life Pharmacy LLC,"DMCC, KUWA",Cost of Goods Sold,Cost of Goods Sold,Suggested,100%,1,200.0,1,Zoho Bills (line items),Life Pharmacy LLC
LIFENITY GENOMIC LABORATORY DMCC,DMCC,,,Unmapped,,,,,,
LIMESE ARABIA LLC - FZ,KUWA,Inventory Asset,Inventory Asset,Suggested,88%,64,87523.66,4,Zoho Bills (line items),LIMESE ARABIA LLC - FZ
Lina Jihad Kamil Saadeh,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,3,2400.0,1,Zoho Bills (line items),Lina Jihad Kamil Saadeh
LINA JIHAD KAMIL SAADEH - Content Creator,DMCC,,,Unmapped,,,,,,
LINFLUENCE BY LAURE FZE,DMCC,,,Unmapped,,,,,,
Links Me,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,19,16542.5,1,Zoho Bills (line items),Links Me
LINKVIVA,DMCC,,,Unmapped,,,,,,
LOGI CONNECTS LLC,KUWA,Mid Mile,Mid Mile,Needs review,53%,713,2139828.95,6,Zoho Bills (line items),LOGI CONNECTS LLC
Logical Network Solutions LLC,DMCC,,,Unmapped,,,,,,
Lojane Alrefae,DMCC,,,Unmapped,,,,,,
Lotus Blooming Herbs,KUWA,Cost of Goods Sold,Cost of Goods Sold,Needs review,71%,2,40320.0,2,Zoho Bills (line items),Lotus Blooming Herbs
Lubna Refai Dietitian,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,3000.0,1,Zoho Bills (line items),Lubna Refai Dietitian
LUQMAN PHARMACY LLC,DMCC,,,Unmapped,,,,,,
"Lusha Systems, Inc.",DMCC,,,Unmapped,,,,,,
Lux Management and Holding FZ LLE,HOLDING,,,Unmapped,,,,,,
Luxlife,DMCC,,,Unmapped,,,,,,
LYFE Marketing,DMCC,,,Unmapped,,,,,,
Lynn Kakhia,DMCC,,,Unmapped,,,,,,
Mad Media,DMCC,,,Unmapped,,,,,,
Magical Hands Building Cleaning Services,DMCC,,,Unmapped,,,,,,
MAGNITUDE DIGITAL MARKETING OPERATIONS MANAGEMENT FZ LLC,DMCC,,,Unmapped,,,,,,
Mahdi Attya,DMCC,,,Unmapped,,,,,,
Majdouleen Alrumhein,DMCC,,,Unmapped,,,,,,
Majid al Futtaim Hypermarkets LLC,DMCC,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,99%,307,3417.02,3,Zoho Bills (line items),Majid Al Futtaim Hypermarkets LLC
MAKHZNY Company / شركة المخزن الذاتي للتخزين,KSA,,,Unmapped,,,,,,
MAMAHOOD FZCO,DMCC,,,Unmapped,,,,,,
Mamo Limited,DMCC,,,Unmapped,,,,,,
Manal El Hage,DMCC,,,Unmapped,,,,,,
Manal Hawwash,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1511.11,1,Zoho Bills (line items),Manal Hawwash
Manha Alkhair,KUWA,Staff Visa Expenses,Staff Visa Expenses,Suggested,100%,1,500.0,1,Zoho Bills (line items),Manha Alkhair
MANIAC MONKEY MEDIA LLC,DMCC,,,Unmapped,,,,,,
Maqsam • a product of Labotic OÜ,DMCC,,,Unmapped,,,,,,
Mariia Samarina,DMCC,,,Unmapped,,,,,,
Mario,DMCC,,,Unmapped,,,,,,
Marjan Khodadad,DMCC,,,Unmapped,,,,,,
MARJAN MOHAMMADREZA,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,3500.0,1,Zoho Bills (line items),MARJAN MOHAMMADREZA
Markaz Asus Al Anaya For Medical (Home Care),KSA,,,Unmapped,,,,,,
Mary Kellner,DMCC,,,Unmapped,,,,,,
MARYAM ALSHAMSI BLOGGING SERVICES,DMCC,,,Unmapped,,,,,,
MARYAM JABER BINT HASSAN AL-QAISI,KSA,,,Unmapped,,,,,,
Maternity Care by Houda Hammami,DMCC,,,Unmapped,,,,,,
Mathaar Global General Trading LLC,DMCC,,,Unmapped,,,,,,
Maven Cluster Software Pvt. Ltd,DMCC,,,Unmapped,,,,,,
Mawdoo3 Limited,DMCC,,,Unmapped,,,,,,
Maya Kudur Marketing,DMCC,,,Unmapped,,,,,,
MBM SPECIALITY MEDICAL CENTER,DMCC,,,Unmapped,,,,,,
Med,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,3,2185.0,1,Zoho Bills (line items),Med
Med White Clinic,DMCC,,,Unmapped,,,,,,
Med Wing,DMCC,,,Unmapped,,,,,,
MED X PHARMACY LLC,DMCC,,,Unmapped,,,,,,
MEDIA MANTRA CONSULTANCY - FZCO,DMCC,,,Unmapped,,,,,,
Media One Hotel LLC,VWHC,,,Unmapped,,,,,,
Medicina Pharmacy,DMCC,,,Unmapped,,,,,,
Medilica Drug Store L.L.C.,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,204,99375.2,1,Zoho Bills (line items),Medilica Drug Store L.L.C.
Medilica Drug Store LLC,DMCC,Inventory Asset,Inventory Asset,Suggested,100%,204,99375.2,1,Zoho Bills (line items),Medilica Drug Store L.L.C.
medlab Laboratories - Saudi Arabia,KSA,,,Unmapped,,,,,,
MedX Pharma,DMCC,,,Unmapped,,,,,,
MEFITPRO TRADING LLC,DMCC,,,Unmapped,,,,,,
Mega Star Nutrition LLC,DMCC,,,Unmapped,,,,,,
Megan Moxey,DMCC,,,Unmapped,,,,,,
MEHRAKI FOODS AND NU,KUWA,,,Unmapped,,,,,,
Mensa Brand Technologies Pvt Ltd,DMCC,,,Unmapped,,,,,,
Mentimeter AB,DMCC,,,Unmapped,,,,,,
MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,97%,253,125787.52,3,Zoho Bills (line items),MERHAKI FOODS AND NUTRITION PRIVATE LIMITED
Merlin Yilmaz,DMCC,,,Unmapped,,,,,,
MessageBird,DMCC,,,Unmapped,,,,,,
Meta Platforms Ireland Limited,DMCC,COS - Marketing Related Expenses,COS - Marketing Related Expenses,Suggested,100%,6,439206.84,1,Detailed GL,Meta Platforms Ireland Limited
Metasphere Technologies,KUWA,Prepaid Expenses,Prepaid Expenses,Suggested,100%,2,18000.0,1,Zoho Bills (line items),Metasphere Technologies
MetLife,"DMCC, KUWA, VWHC",Prepaid Insurance,Prepaid Insurance,Suggested,100%,18,84392.0,1,Zoho Bills (line items),MetLife
Metropolitan Hotel Dubai L.L.C,DMCC,,,Unmapped,,,,,,
MH Al shayya Co LLC,DMCC,,,Unmapped,,,,,,
MH Enterprises L.L.C,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,99%,545,466800.82,3,Zoho Bills (line items),MH Enterprises L.L.C
Mi Tech Group L.L.C-FZ,DMCC,,,Unmapped,,,,,,
Michael Logue,DMCC,,,Unmapped,,,,,,
Michael Page International (UAE),DMCC,Professional Fees,Professional Fees,Suggested,100%,1,25000.0,1,Zoho Bills (line items),Michael Page International (UAE) Limited
Michael Page International (UAE) Limited,KUWA,Professional Fees,Professional Fees,Suggested,100%,1,25000.0,1,Zoho Bills (line items),Michael Page International (UAE) Limited
Michele Barouki,DMCC,,,Unmapped,,,,,,
MICROLESS GENERAL TRADING LLC,DMCC,,,Unmapped,,,,,,
Middle East Testing services,KUWA,Professional Fees,Professional Fees,Suggested,100%,1,3600.0,1,Zoho Bills (line items),Middle East Testing services
Mighty International DMCC,DMCC,,,Unmapped,,,,,,
Milos,DMCC,,,Unmapped,,,,,,
MINDPEERS INDIA PRIVATE LIMITED,DMCC,,,Unmapped,,,,,,
Ministry Of Health & Prevention,DMCC,,,Unmapped,,,,,,
MIRA ABOU JAOUDE,DMCC,,,Unmapped,,,,,,
Mirella Nakad,DMCC,,,Unmapped,,,,,,
Mirna Wellness,DMCC,,,Unmapped,,,,,,
MIRO,DMCC,,,Unmapped,,,,,,
Mishal,KUWA,Others - Marketing Expenses,Others - Marketing Expenses,Suggested,100%,1,898.24,1,Zoho Bills (line items),Mishal
Mizna Arshad,DMCC,,,Unmapped,,,,,,
Modash OÜ,DMCC,,,Unmapped,,,,,,
Modernline Distribution LLC,"DMCC, KUWA",Last Mile,Last Mile,Suggested,96%,153,237630.16,4,Zoho Bills (line items),Modernline Distribution LLC
Moe Maktabi,DMCC,,,Unmapped,,,,,,
Mohamad aldyk,KUWA,Marketing Expense,Marketing Expense,Needs review,50%,4,3672.5,2,Zoho Bills (line items),Mohamad aldyk
Mohamad Bakran,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,4039.75,1,Zoho Bills (line items),Mohamad Bakran
Mohamed Al Khalili,DMCC,,,Unmapped,,,,,,
Mohamed Othman,DMCC,,,Unmapped,,,,,,
Mohamed Souhaib Slamat,DMCC,,,Unmapped,,,,,,
Mohsen Press,DMCC,,,Unmapped,,,,,,
Mojo Public Relations Management,DMCC,,,Unmapped,,,,,,
Mona Sha,KUWA,Consultant Expense,Consultant Expense,Suggested,100%,12,63582.57,1,Zoho Bills (line items),Mona Sha
Monty International FZ-LLC,DMCC,,,Unmapped,,,,,,
Mosaic wellness private limited,KUWA,Inventory Asset,Inventory Asset,Needs review,78%,440,185378.87,3,Zoho Bills (line items),Mosaic wellness private limited
MOST VALUABLE TRADER CONSULTING - FZCO,DMCC,,,Unmapped,,,,,,
Motherlove Herbal Company,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,1,9390.11,1,Zoho Bills (line items),Motherlove Herbal Company
Motmaen Medical Service Co.,DMCC,,,Unmapped,,,,,,
Motmaen Medical Service Co. / شركة المؤمن للخدمات الطبية,KSA,,,Unmapped,,,,,,
Mr. Margie Lapena Tomas,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1000.0,1,Zoho Bills (line items),Mr. Margie Lapena Tomas
Mr. testing1 testing,KUWA,Cost of Goods Sold,Cost of Goods Sold,Needs review,38%,7,132.8,3,Zoho Bills (line items),Mr. testing1 testing
MRSOOL,DMCC,,,Unmapped,,,,,,
Mudad,DMCC,,,Unmapped,,,,,,
Mudad / شركة مدد الأعمال لتقنية نظم المعلومات,KSA,,,Unmapped,,,,,,
Muhammad Rahman,KSA,,,Unmapped,,,,,,
Muidh bin Mohammed bin Ali Al-Najrani Foundation for Artistic Production/مؤسسة معيض بن محمد بن علي النجراني للإنتاج الفني,KSA,,,Unmapped,,,,,,
Mumzworld FZ LLC,KUWA,Others - Marketing Expenses,Others - Marketing Expenses,Suggested,100%,1,11010.0,1,Zoho Bills (line items),Mumzworld FZ LLC
Muscat Pharmaceutical Trading LLC,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,96%,814,4270084.29,4,Zoho Bills (line items),Muscat Pharmaceutical Trading LLC
My Mindful Tribe,DMCC,,,Unmapped,,,,,,
Myebusiness LLC,DMCC,,,Unmapped,,,,,,
Mynditude DMCC,DMCC,,,Unmapped,,,,,,
Nad Al Hamar Pharmacy,DMCC,,,Unmapped,,,,,,
Nad Shabeeb Waste Collection & Transporting,KUWA,Office Expenses,Office Expenses,Suggested,100%,3,8592.0,1,Zoho Bills (line items),Nad Shabeeb Waste Collection & Transporting
Nadia Media 1,DMCC,,,Unmapped,,,,,,
NADIA SULTAN ADVERTISING SERVICES,DMCC,,,Unmapped,,,,,,
Nagarjun Y G,PVT,,,Unmapped,,,,,,
Nahdi Medical Company,DMCC,,,Unmapped,,,,,,
Naila Nazer,DMCC,,,Unmapped,,,,,,
Nakhla IT Systems LLC Tamara KSA,DMCC,,,Unmapped,,,,,,
Namshi General Trading L.L.C,DMCC,,,Unmapped,,,,,,
NANDITA,"DMCC, KUWA",Professional Fees,Professional Fees,Suggested,100%,3,2792.24,1,Zoho Bills (line items),NANDITA
NASMAT ALHAYAT HOM HLTHCAR CNTR LLC,DMCC,,,Unmapped,,,,,,
Natalie Safa,DMCC,,,Unmapped,,,,,,
NATURALIFE LABS,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,5,47368.09,1,Zoho Bills (line items),NATURALIFE LABS
Nawel,"DMCC, KUWA",Mid Mile,Mid Mile,Needs review,57%,160,388815.14,3,Zoho Bills (line items),Nawel
Nawel Storage Company,SAHA,Mid Mile,Mid Mile,Suggested,100%,2,58826.8,1,Detailed GL,Nawel Storage Company
Nayera Magdy,DMCC,,,Unmapped,,,,,,
Neha Samuel,DMCC,,,Unmapped,,,,,,
Neuberg Minerva Diagnostic Laboratory,DMCC,,,Unmapped,,,,,,
New Horizon Fire Protect System,KUWA,Legal Expenses,Legal Expenses,Suggested,100%,1,2000.0,1,Zoho Bills (line items),New Horizon Fire Protect System
New Relic,DMCC,,,Unmapped,,,,,,
Next Generation,KUWA,,,Unmapped,,,,,,
Next Generation Medicine,DMCC,,,Unmapped,,,,,,
Nexx Home Healthcare Center LLC,DMCC,,,Unmapped,,,,,,
NICKY FITNESS,DMCC,,,Unmapped,,,,,,
Nifas Medical Services Company,KSA,,,Unmapped,,,,,,
NIHAL NOUFAL,DMCC,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),Nihal Noufal
Nihal Noufal,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),Nihal Noufal
Nimish Srivastava(Ecomedge solutions),KUWA,Consultant Expense,Consultant Expense,Suggested,100%,1,3934.24,1,Zoho Bills (line items),Nimish Srivastava(Ecomedge solutions)
NINO JUFREN DOMINGUE,DMCC,,,Unmapped,,,,,,
Nisha Kumari / SIMA MISHRA,DMCC,,,Unmapped,,,,,,
NOBLE ESSENCE PERFUME CRAFTERS PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,3,2020.17,1,Zoho Bills (line items),NOBLE ESSENCE PERFUME CRAFTERS PRIVATE LIMITED
Nojom / نجوم,KSA,,,Unmapped,,,,,,
Nojoom,DMCC,,,Unmapped,,,,,,
Nook Office Dmcc,DMCC,,,Unmapped,,,,,,
Noon - Office,DMCC,Inventory Asset,Inventory Asset,Needs review,79%,80,6028.49,5,Zoho Bills (line items),NOON Office
NOON E COMMERCE OWNED BY NOON AD HOLDINGS ONE PERSON COMPANY L.L.C,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,84%,781,1683500.55,4,Zoho Bills (line items),NOON E COMMERCE OWNED BY NOON AD HOLDINGS ONE PERSON COMPANY L.L.C
NOON E COMMERCE SOLUTIONS SINGLE PERSON LLC,SAHA,,,Unmapped,,,,,,
Noon E-Commerce Solutions Single Person LLC,KSA,,,Unmapped,,,,,,
Noon Market Place - KSA,DMCC,,,Unmapped,,,,,,
Noon Market Place - UAE,DMCC,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,84%,781,1683500.55,4,Zoho Bills (line items),NOON E COMMERCE OWNED BY NOON AD HOLDINGS ONE PERSON COMPANY L.L.C
Noon Marketplace KSA,KSA,,,Unmapped,,,,,,
NOON MINUTES LLC,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,100%,84,147288.28,1,Zoho Bills (line items),NOON MINUTES LLC
NOON Office,KUWA,Inventory Asset,Inventory Asset,Needs review,79%,80,6028.49,5,Zoho Bills (line items),NOON Office
Noon Wow LLC,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,100%,1,3.23,1,Zoho Bills (line items),Noon Wow LLC
Noor Takaful Ethical Insurance,DMCC,,,Unmapped,,,,,,
Nordic Home Healthcare Services LLC,DMCC,,,Unmapped,,,,,,
NOUR AWAD,DMCC,,,Unmapped,,,,,,
NOURA SHBEEB,DMCC,,,Unmapped,,,,,,
Novitas Clinic LLC,DMCC,,,Unmapped,,,,,,
NOVO Muse Global Consulting Inc,DMCC,,,Unmapped,,,,,,
NUMEROUS.AI,DMCC,,,Unmapped,,,,,,
Nutreema Advertising Promoting good health and nutrition,DMCC,,,Unmapped,,,,,,
Nutri Gold,DMCC,,,Unmapped,,,,,,
Nutri Link,DMCC,,,Unmapped,,,,,,
Nutrigold,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,113,353664.21,2,Zoho Bills (line items),Nutrigold
NUTRILI SUPPLEMENTS TRADING LLC,DMCC,,,Unmapped,,,,,,
NUTRILINK,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,23,66014.42,1,Zoho Bills (line items),NUTRILINK
NUTRIPHARM,KUWA,Inventory Asset,Inventory Asset,Suggested,92%,2829,2862849.26,3,Zoho Bills (line items),NUTRIPHARM
Nutritionalab Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,86%,393,1336374.82,4,Zoho Bills (line items),Nutritionalab Private Limited
NUTRITIONALAB PRIVATE LIMITED (2026),KUWA,Inventory Asset,Inventory Asset,Suggested,100%,113,406179.23,1,Zoho Bills (line items),NUTRITIONALAB PRIVATE LIMITED (2026)
"NUWA VENTURE FUND I, L.P.","DMCC, HOLDING",,,Unmapped,,,,,,
Nyssa Beauty L.L.C,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,12,1849.91,1,Zoho Bills (line items),Nyssa Beauty L.L.C
Oasis Water,DMCC,,,Unmapped,,,,,,
OCEAN PLUS LOGISTICS L.L.C,KUWA,,,Unmapped,,,,,,
ODDITY HEALTHCARE PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,4,8192.99,1,Zoho Bills (line items),ODDITY HEALTHCARE PRIVATE LIMITED
Ogram FZ-LLC,DMCC,,,Unmapped,,,,,,
OKAB Media LLC,DMCC,,,Unmapped,,,,,,
OLEA DWC LLC,DMCC,,,Unmapped,,,,,,
OMEGA BUSINESS & MANAGEMENT CONSULTANCY FZC,DMCC,,,Unmapped,,,,,,
One Call Doctor Home Health Care Center,DMCC,,,Unmapped,,,,,,
Oneshot,KUWA,,,Unmapped,,,,,,
Online Computer Technologies LLC,DMCC,,,Unmapped,,,,,,
Onsurity Technologies Private Limited,"DMCC, PVT",,,Unmapped,,,,,,
OPAL RESIDENCE,KSA,,,Unmapped,,,,,,
Optimise With Marcello Fze,DMCC,,,Unmapped,,,,,,
Orbit Shipping Services,KUWA,First mile,First mile,Suggested,97%,3,21747.0,2,Zoho Bills (line items),Orbit Shipping Services
Orbit technologies,DMCC,,,Unmapped,,,,,,
Origin Healing,DMCC,,,Unmapped,,,,,,
Paddle.com market limited,DMCC,Subscription Charges,Subscription Charges,Suggested,100%,1,181.83,1,Zoho Bills (line items),Paddle.com Market Ltd
Paddle.com Market Ltd,KUWA,Subscription Charges,Subscription Charges,Suggested,100%,1,181.83,1,Zoho Bills (line items),Paddle.com Market Ltd
Page Group,DMCC,,,Unmapped,,,,,,
Palletco llc,KUWA,,,Unmapped,,,,,,
"PAPACOSMETIC Co.,Ltd",KUWA,Inventory Asset,Inventory Asset,Suggested,100%,34,63549.89,1,Zoho Bills (line items),"PAPACOSMETIC Co.,Ltd"
Paparo Pvt. Ltd,DMCC,Inventory Asset,Inventory Asset,Suggested,100%,82,133980.57,1,Zoho Bills (line items),Paparo PVT. LTD
Paparo PVT. LTD,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,82,133980.57,1,Zoho Bills (line items),Paparo PVT. LTD
PASSION GLOBAL SERVICES,DMCC,,,Unmapped,,,,,,
Pathi Resham,DMCC,,,Unmapped,,,,,,
Paul Sava,KSA,,,Unmapped,,,,,,
PAZ Marketing Management,DMCC,,,Unmapped,,,,,,
PDC Drug Store LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,86%,41,48822.5,3,Zoho Bills (line items),PDC Drug Store LLC
Pep Technologies Pvt. Ltd.,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,91%,143,116919.3,2,Zoho Bills (line items),Pep Technologies Private Limited | Pep Technologies Pvt. Ltd.
Perpetua.Life Biotech,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,10,78522.15,2,Zoho Bills (line items),Perpetua.Life Biotech
